Tweet_ID,Tweet_Length_Words,Tweet_Length_Chars,Tweet_Punctuation_Count,Tweet_Has_URL,Tweet_Has_Short_URL,Tweet_Has_Emoji,Tweet_Has_User_Mentions,Tweet_Num_Mentions,Tweet_Num_Hashtags,Tweet_Num_Likes,Tweet_Num_Retweets,Tweet_Num_Replies,Tweet_Compound_Score,Tweet_Is_Reply,User_Time_on_Twitter,User_Followers,User_Friends,User_Is_Verified,User_Handle_Has_Number
969098253215117312,20,130,10,1,1,0,0,0,3,5,6,0,0.0,0,107,2086,2086,0,0
976658025225142272,19,141,10,1,1,0,0,0,4,0,1,0,-0.6597,0,120,2730,2730,0,0
976658319073923072,13,108,9,1,1,0,1,1,3,0,1,0,0.0,0,120,2731,2731,0,0
965895645604339712,3,43,6,1,1,0,0,0,1,0,1,0,0.0,0,123,299,299,0,0
971476087929700352,29,212,11,1,1,0,1,1,3,6,1,2,0.296,0,115,35434,35434,1,0
842195078839980032,10,78,11,1,1,0,0,0,4,115,108,6,-0.3818,0,131,124872,124872,0,0
974210371702722560,30,214,16,1,1,1,0,0,4,0,1,0,0.7096,0,63,614,614,0,0
978250994780917761,32,254,15,1,1,0,1,1,2,1,1,0,0.6597,0,102,738,738,0,0
978235444230934528,37,243,12,1,1,0,0,0,4,3,2,0,0.3962,0,33,225,225,0,1
976661668938760193,28,217,21,1,1,0,1,2,8,0,1,0,0.7692,0,120,1450,1450,0,0
977477098339295232,17,121,8,1,1,0,0,0,1,0,1,0,0.5411,1,87,41,41,0,0
978352933334077440,39,250,12,0,0,0,1,2,2,2,1,1,0.2023,1,92,1801,1801,0,1
969090913703116800,27,211,14,1,1,0,1,1,1,5,2,0,-0.8689,0,130,1375,1375,0,0
967685703076319232,21,148,10,1,1,0,0,0,4,12,15,0,-0.5859,0,56,3301,3301,0,0
957806596406595584,22,177,10,1,1,0,0,0,5,7,5,0,-0.7579,0,33,221,221,0,1
969606938848735232,31,182,10,1,1,0,0,0,1,4,1,0,-0.3071,0,90,4128,4128,0,0
